# REAL VTOP FFCS DATA - FALL SEMESTER 2026-27
# Format: course_code|course_name|faculty|slot_group|component|venue
# Slot groups are taken from the VTOP registration screenshots supplied for this project.

# MAT1003 - Calculus
MAT1003|Calculus|MANISHA JAIN|A11+A12+A13+A14+D11+D12|LT|AB-519
MAT1003|Calculus|KUMAR ABHISHEK|A11+A12+A13+A14+D11+D12|LT|AB-517
MAT1003|Calculus|ANKIT PAL|A11+A12+A13+A14+D11+D12|LT|AB-431
MAT1003|Calculus|NILAM VENKATOKESWARARAO|A11+A12+A13+A14+D11+D12|LT|AB-502
MAT1003|Calculus|VINOD KUMAR JATAV|A11+A12+A13+A14+D11+D12|LT|AB-507
MAT1003|Calculus|KIRAN KUMAR BEHERA|A11+A12+A13+A14+D11+D12|LT|AB-513
MAT1003|Calculus|ANAND ABBASI|A11+A12+A13+A14+D11+D12|LT|AB-507
MAT1003|Calculus|GOBINDA GIOSH|A11+A12+A13+A14+D11+D12|LT|AB-503
MAT1003|Calculus|SALMAN ZAHEER|A11+A12+A13+A14+D11+D12|LT|AB-415
MAT1003|Calculus|PRIYANKA|A11+A12+A13+A14+D11+D12|LT|AB-518
MAT1003|Calculus|CLEMENT JOHNSON|A11+A12+A13+A14+D11+D12|LT|AB-419
MAT1003|Calculus|SUCHISMITA PATRA|A21+A22+A23+B14+D21+D22|LT|AB-420
MAT1003|Calculus|DIP MUKHERJEE|A21+A22+A23+B14+D21+D22|LT|AB-431
MAT1003|Calculus|SUPRIYA KUMAR PAUL|A21+A22+A23+B14+D21+D22|LT|AB-507
MAT1003|Calculus|SURENDER KUMAR|A21+A22+A23+B14+D21+D22|LT|AB-513
MAT1003|Calculus|GIRIRAJ P|A21+A22+A23+B14+D21+D22|LT|AB-430
MAT1003|Calculus|HARISH CHANDRA|A21+A22+A23+B14+D21+D22|LT|AB-502
MAT1003|Calculus|PAVAN KUMAR|A21+A22+A23+B14+D21+D22|LT|AB-416
MAT1003|Calculus|K. RANGARAJAN|A21+A22+A23+B14+D21+D22|LT|AB-413
MAT1003|Calculus|YOGESH|B11+B12+B13+C14+E11+E12|LT|AB-023
MAT1003|Calculus|JUHI KESARWANI|B11+B12+B13+C14+E11+E12|LT|AB-513
MAT1003|Calculus|MAYANK SHARMA|B11+B12+B13+C14+E11+E12|LT|AB-431
MAT1003|Calculus|PRIYANKA ROY|B11+B12+B13+C14+E11+E12|LT|AB-502
